predictions,targets
1.505464911460876465e-01,1.256828755140304565e-01
5.024159792810678482e-03,4.005129449069499969e-03
-3.348621726036071777e-02,4.989809682386407361e-16
6.333728134632110596e-02,2.231818437576293945e-02
7.012809067964553833e-02,2.678238041698932648e-02
1.917499862611293793e-02,6.084138900041580200e-02
1.233790740370750427e-01,1.339460730552673340e+00
7.482596486806869507e-02,1.485155470826171609e-10
3.107318095862865448e-02,4.124033439438790083e-04
1.178240105509757996e-01,3.233536332845687866e-02
1.152635142207145691e-01,2.285382477566599846e-03
-8.796834386885166168e-03,1.244410596242836089e-17
5.782958865165710449e-02,7.043789934699608898e-16
1.835411763750016689e-03,1.440797859686426818e-06
1.002812609076499939e-01,7.908983230590820312e-01
2.403815276920795441e-02,5.328163970261812210e-03
5.604851990938186646e-02,3.861951641738414764e-03
4.081271961331367493e-02,1.615253160707652569e-03
-1.805414073169231415e-02,7.212336977646671698e-11
9.519872255623340607e-03,1.426914241164922714e-02
5.763663351535797119e-02,4.319649189710617065e-03
4.151751473546028137e-02,1.459710620110854506e-04
1.476951986551284790e-01,2.155783586204051971e-02
-1.536720152944326401e-02,5.862508551217615604e-04
-1.152412220835685730e-02,5.085647181157781915e-11
9.069795161485671997e-02,5.672589850291842595e-06
2.489828690886497498e-02,1.360961515456438065e-02
7.230766117572784424e-02,1.932883606059476733e-05
-1.057732477784156799e-02,3.758888691663742065e-03
1.642715558409690857e-02,1.497893244959414005e-03
3.480460122227668762e-02,2.840514071067445911e-06
-4.440692719072103500e-03,2.572304869108421599e-11
8.711122721433639526e-02,1.743540912866592407e-02
9.575044363737106323e-02,2.668514382094144821e-03
1.093944758176803589e-01,1.088097468018531799e-01
-3.786061331629753113e-02,1.759369770297780633e-04
1.494893431663513184e-02,4.764559678733348846e-03
-2.425669506192207336e-02,1.427543233148753643e-03
3.498132899403572083e-02,6.764895515516400337e-04
3.677447885274887085e-02,3.419340774416923523e-02
-7.727225124835968018e-02,9.874714648584002395e-19
-1.262560021132230759e-03,2.961204154416918755e-03
1.439371705055236816e-01,9.159832261502742767e-03
1.113994233310222626e-02,7.474684389308094978e-04
-5.769460648298263550e-02,6.498475091376576529e-09
1.584656983613967896e-01,1.682011038064956665e-01
1.519779413938522339e-01,1.094946786761283875e-01
1.464929897338151932e-02,1.574393539387491399e-19
-1.971085555851459503e-02,1.485890020216040769e-21
-1.053305622190237045e-02,2.623491854124694947e-15
1.413274109363555908e-01,5.429474636912345886e-02
4.580189287662506104e-02,6.957817822694778442e-03
5.691400170326232910e-02,6.043201312422752380e-02
6.859816610813140869e-02,3.818328332272358239e-05
1.590789295732975006e-02,2.207281766459345818e-03
-3.417287254706025124e-03,1.405415096087381244e-04
1.441047489643096924e-01,1.000674292445182800e-01
8.792288601398468018e-02,6.721663475036621094e-02
1.470559835433959961e-01,5.487063026521354914e-05
7.947137951850891113e-02,2.265005023218691349e-04
1.480336934328079224e-01,2.324882447719573975e-01
4.519138019531965256e-03,9.918578871292993426e-05
3.145221387967467308e-03,3.679646877571940422e-03
1.145298499614000320e-02,4.363699350506067276e-03
1.205038558691740036e-02,2.142960729543119669e-04
2.713768370449542999e-02,5.703710226156013044e-15
2.899917960166931152e-02,8.129033260047435760e-03
2.897600829601287842e-02,1.682991190854465913e-09
6.499429047107696533e-02,1.437009359506191686e-05
1.500255428254604340e-02,1.286739132179236375e-16
2.258293703198432922e-02,8.217971189878880978e-04
3.423608466982841492e-02,2.780803333735093474e-05
1.728337854146957397e-01,1.244736164808273315e-01
5.061480682343244553e-03,3.349410602822899818e-03
1.168937906622886658e-01,1.067336276173591614e-02
-2.454448118805885315e-02,1.668535514909308404e-05
-5.694010481238365173e-02,1.789846516711633001e-14
6.099451798945665359e-03,2.060351427644491196e-03
2.189770154654979706e-02,8.126802182595316282e-13
-1.530735194683074951e-02,8.429936978505969680e-13
-2.751239342615008354e-03,5.093818162410501671e-13
1.561417728662490845e-01,2.100889682769775391e-01
3.404693678021430969e-02,2.220157738208605736e-11
1.312851905822753906e-02,6.523015634585238587e-12
