predictions,targets
1.533706188201904297e-01,1.256828755140304565e-01
1.167552359402179718e-02,4.005129449069499969e-03
0.000000000000000000e+00,4.989809682386407361e-16
1.098235398530960083e-01,2.231818437576293945e-02
1.959998346865177155e-02,2.678238041698932648e-02
1.428439915180206299e-01,6.084138900041580200e-02
3.862787485122680664e-01,1.339460730552673340e+00
0.000000000000000000e+00,1.485155470826171609e-10
1.287171896547079086e-02,4.124033439438790083e-04
2.242758870124816895e-02,3.233536332845687866e-02
0.000000000000000000e+00,2.285382477566599846e-03
0.000000000000000000e+00,1.244410596242836089e-17
3.516051452606916428e-03,7.043789934699608898e-16
0.000000000000000000e+00,1.440797859686426818e-06
1.202134601771831512e-02,7.908983230590820312e-01
7.442592829465866089e-02,5.328163970261812210e-03
0.000000000000000000e+00,3.861951641738414764e-03
0.000000000000000000e+00,1.615253160707652569e-03
8.978624828159809113e-03,7.212336977646671698e-11
2.329666167497634888e-02,1.426914241164922714e-02
0.000000000000000000e+00,4.319649189710617065e-03
7.956828176975250244e-02,1.459710620110854506e-04
1.218743622303009033e-01,2.155783586204051971e-02
0.000000000000000000e+00,5.862508551217615604e-04
0.000000000000000000e+00,5.085647181157781915e-11
0.000000000000000000e+00,5.672589850291842595e-06
5.783010274171829224e-03,1.360961515456438065e-02
9.251455776393413544e-03,1.932883606059476733e-05
0.000000000000000000e+00,3.758888691663742065e-03
4.807452857494354248e-02,1.497893244959414005e-03
0.000000000000000000e+00,2.840514071067445911e-06
0.000000000000000000e+00,2.572304869108421599e-11
0.000000000000000000e+00,1.743540912866592407e-02
6.323790550231933594e-02,2.668514382094144821e-03
6.265572458505630493e-02,1.088097468018531799e-01
1.409368775784969330e-02,1.759369770297780633e-04
0.000000000000000000e+00,4.764559678733348846e-03
0.000000000000000000e+00,1.427543233148753643e-03
4.310529306530952454e-02,6.764895515516400337e-04
4.217378422617912292e-02,3.419340774416923523e-02
4.109069332480430603e-02,9.874714648584002395e-19
4.677233844995498657e-02,2.961204154416918755e-03
7.091220468282699585e-03,9.159832261502742767e-03
2.277921885251998901e-02,7.474684389308094978e-04
0.000000000000000000e+00,6.498475091376576529e-09
2.113953083753585815e-01,1.682011038064956665e-01
1.641039699316024780e-01,1.094946786761283875e-01
3.021831624209880829e-02,1.574393539387491399e-19
5.061482638120651245e-02,1.485890020216040769e-21
7.873431968619115651e-06,2.623491854124694947e-15
8.089036494493484497e-02,5.429474636912345886e-02
2.494152868166565895e-03,6.957817822694778442e-03
