predictions,targets
1.334402031250000000e+05,1.256828671875000000e+05
2.005382934570312500e+03,4.005129394531250000e+03
5.922274291515350342e-02,4.989809676558820684e-10
1.161361250000000000e+05,2.231818359375000000e+04
2.024028515625000000e+04,2.678238085937500000e+04
8.573057031250000000e+04,6.084138671875000000e+04
4.324857187500000000e+05,1.339460625000000000e+06
5.922274291515350342e-02,1.485155517002567649e-04
2.974074096679687500e+02,4.124033508300781250e+02
2.153250000000000000e+04,3.233536328125000000e+04
1.105540084838867188e+02,2.285382324218750000e+03
5.922274291515350342e-02,1.244410564177345080e-11
5.922274291515350342e-02,7.043789995719862418e-10
3.515908241271972656e+00,1.440797805786132812e+00
1.888781835937500000e+04,7.908983125000000000e+05
5.881278808593750000e+03,5.328164062500000000e+03
6.753250488281250000e+03,3.861951660156250000e+03
1.722317016601562500e+03,1.615253173828125000e+03
5.922274291515350342e-02,7.212336640805006027e-05
1.034956445312500000e+04,1.426914257812500000e+04
1.409103088378906250e+02,4.319648925781250000e+03
5.672787597656250000e+03,1.459710693359375000e+02
5.004698046875000000e+04,2.155783593750000000e+04
7.592722167968750000e+02,5.862508544921875000e+02
5.922274291515350342e-02,5.085647353553213179e-05
2.130429229736328125e+02,5.672589778900146484e+00
7.372762207031250000e+03,1.360961523437500000e+04
1.572846069335937500e+03,1.932883644104003906e+01
3.370898681640625000e+03,3.758888671875000000e+03
1.672211914062500000e+02,1.497893188476562500e+03
3.762657403945922852e+00,2.840514183044433594e+00
5.922274291515350342e-02,2.572304765635635704e-05
3.070065039062500000e+04,1.743540820312500000e+04
4.054902099609375000e+03,2.668514404296875000e+03
1.601715332031250000e+04,1.088097421875000000e+05
1.160905517578125000e+03,1.759369812011718750e+02
4.098751953125000000e+03,4.764559570312500000e+03
1.557143920898437500e+03,1.427543212890625000e+03
1.662005615234375000e+03,6.764895629882812500e+02
1.582988867187500000e+04,3.419340625000000000e+04
5.922274291515350342e-02,9.874714978000409538e-13
2.668388916015625000e+03,2.961204101562500000e+03
1.020024316406250000e+04,9.159833007812500000e+03
6.465922851562500000e+02,7.474684448242187500e+02
5.922274291515350342e-02,6.498475093394517899e-03
1.597192812500000000e+05,1.682010937500000000e+05
1.876328437500000000e+05,1.094946796875000000e+05
5.922274291515350342e-02,1.574393556063452548e-13
5.922274291515350342e-02,1.485889971787200843e-15
5.922274291515350342e-02,2.623491868192218135e-09
4.560920703125000000e+04,5.429474609375000000e+04
9.747515625000000000e+03,6.957817871093750000e+03
9.946825195312500000e+03,6.043201562500000000e+04
5.627434921264648438e+01,3.818328094482421875e+01
1.620509643554687500e+03,2.207281738281250000e+03
1.437162322998046875e+02,1.405415039062500000e+02
1.158474921875000000e+05,1.000674296875000000e+05
1.360184531250000000e+05,6.721663281250000000e+04
2.622748756408691406e+01,5.487063217163085938e+01
1.299461936950683594e+01,2.265005035400390625e+02
1.067029062500000000e+05,2.324882500000000000e+05
1.748517913818359375e+02,9.918579101562500000e+01
5.223650390625000000e+03,3.679646972656250000e+03
3.916257080078125000e+03,4.363699218750000000e+03
4.949842224121093750e+02,2.142960662841796875e+02
5.922274291515350342e-02,5.703709948789992268e-09
8.463567382812500000e+03,8.129033691406250000e+03
5.922274291515350342e-02,1.682991161942481995e-03
5.922274291515350342e-02,1.437009334564208984e+01
5.922274291515350342e-02,1.286739048644847117e-10
1.923728027343750000e+03,8.217971191406250000e+02
5.673707962036132812e+01,2.780803298950195312e+01
8.889579375000000000e+05,1.244736171875000000e+05
2.207271240234375000e+03,3.349410400390625000e+03
3.431874218750000000e+04,1.067336328125000000e+04
2.686738967895507812e+01,1.668535614013671875e+01
5.922274291515350342e-02,1.789846493238655967e-08
2.075490478515625000e+03,2.060351562500000000e+03
5.922274291515350342e-02,8.126801844809961040e-07
5.922274291515350342e-02,8.429936997345066629e-07
5.922274291515350342e-02,5.093817776469222736e-07
1.335867812500000000e+05,2.100889687500000000e+05
5.922274291515350342e-02,2.220157693955115974e-05
5.922274291515350342e-02,6.523015599668724462e-06
1.168248291015625000e+03,8.011094970703125000e+02
5.922274291515350342e-02,3.714700047875176513e-16
1.095041748046875000e+03,8.828401947021484375e+01
1.079733398437500000e+03,1.073266235351562500e+03
3.170390000000000000e+06,3.993492812500000000e+05
3.463411621093750000e+03,4.012593505859375000e+03
4.141240234375000000e+02,1.896159179687500000e+03
1.079310058593750000e+03,1.103421875000000000e+03
2.753204101562500000e+04,8.242718750000000000e+03
1.597981562500000000e+05,1.654453281250000000e+05
1.554325488281250000e+04,1.695608203125000000e+04
2.024471250000000000e+05,2.504131562500000000e+05
5.854708862304687500e+02,1.168680114746093750e+02
4.794549316406250000e+03,5.103373046875000000e+03
1.016000556945800781e+01,2.992694377899169922e-01
7.721795082092285156e+00,2.684572696685791016e+00
1.370954882812500000e+04,1.128798144531250000e+04
5.922274291515350342e-02,5.801750191380961041e-08
3.933630981445312500e+02,5.439558029174804688e+01
1.986231640625000000e+04,4.462974609375000000e+04
5.352617675781250000e+03,6.467241699218750000e+03
1.183966064453125000e+02,1.928830718994140625e+02
5.922274291515350342e-02,3.887997996471215245e-12
5.774525146484375000e+02,6.329099121093750000e+03
5.922274291515350342e-02,1.244589978630474339e-15
3.707487109375000000e+04,2.031641210937500000e+04
5.922274291515350342e-02,1.002995006249866525e-14
7.900966308593750000e+03,7.190518554687500000e+03
5.555475390625000000e+04,1.066261171875000000e+05
5.922274291515350342e-02,1.218920297105796635e-04
1.414621459960937500e+03,1.828389404296875000e+03
1.011421508789062500e+02,5.150558471679687500e+02
6.445395312500000000e+04,4.381716015625000000e+04
4.181731640625000000e+04,2.711174609375000000e+04
3.224617187500000000e+04,1.880750390625000000e+04
1.316489218750000000e+05,1.206722187500000000e+05
4.552585500000000000e+06,4.705791500000000000e+06
5.922274291515350342e-02,2.671587173708189766e-09
5.637370605468750000e+02,1.945983276367187500e+03
1.074082324218750000e+04,3.296383203125000000e+04
1.865459106445312500e+03,3.618687109375000000e+04
5.460170898437500000e+02,1.844934387207031250e+02
4.992874687500000000e+05,4.945698750000000000e+05
5.654381835937500000e+03,3.653006591796875000e+03
5.922274291515350342e-02,2.943842904642224312e-03
5.922274291515350342e-02,6.330632632695065709e-13
7.028857910156250000e+03,5.223814941406250000e+03
4.525473937988281250e+02,1.828400756835937500e+03
4.066016006469726562e+01,4.478955993652343750e+02
5.922274291515350342e-02,9.309814231528434902e-06
5.922274291515350342e-02,3.075063981228254306e-09
5.185532226562500000e+03,5.208681152343750000e+03
5.922274291515350342e-02,4.333700079025594454e-16
1.181106640625000000e+04,1.416827539062500000e+04
1.445948730468750000e+04,2.631395312500000000e+04
4.340889453887939453e+00,8.694579452276229858e-02
5.922274291515350342e-02,2.461573109030723572e-03
1.773953247070312500e+03,1.967781372070312500e+02
2.900595664978027344e+00,7.578623962402343750e+01
4.357479296875000000e+04,1.599101806640625000e+03
1.150747451782226562e+02,9.631442070007324219e+00
5.922274291515350342e-02,1.185333251953125000e+00
3.466218359375000000e+04,2.252853710937500000e+04
5.922274291515350342e-02,1.087765186084943547e-12
5.922274291515350342e-02,5.900893285115671461e-08
5.922274291515350342e-02,1.170903025010444284e-14
7.060522949218750000e+03,8.705651367187500000e+03
5.922274291515350342e-02,3.610976564232259989e-04
4.358788013458251953e+00,1.354120612144470215e+00
2.253255126953125000e+03,4.545172363281250000e+03
5.922274291515350342e-02,2.805189992783046343e-14
5.922274291515350342e-02,1.620469166838112152e-12
1.604542500000000000e+05,9.645760937500000000e+04
1.418767700195312500e+03,8.675768432617187500e+02
5.922274291515350342e-02,5.307096540008160446e-09
7.705023925781250000e+03,2.902821289062500000e+03
2.521000732421875000e+03,9.254564208984375000e+02
5.922274291515350342e-02,2.269523451104760170e-03
