predictions,targets
3.327471017837524414e-02,1.256828755140304565e-01
1.878686249256134033e-03,4.005129449069499969e-03
1.228946144068293611e-13,4.989809682386407361e-16
1.817890629172325134e-02,2.231818437576293945e-02
5.551298148930072784e-03,2.678238041698932648e-02
4.733059182763099670e-02,6.084138900041580200e-02
2.791859209537506104e-02,1.339460730552673340e+00
1.608888022808230289e-10,1.485155470826171609e-10
2.976575866341590881e-03,4.124033439438790083e-04
1.541461702436208725e-02,3.233536332845687866e-02
5.499229300767183304e-03,2.285382477566599846e-03
5.097479746081045714e-16,1.244410596242836089e-17
1.218423476528563895e-17,7.043789934699608898e-16
2.175646329760638764e-07,1.440797859686426818e-06
3.454412333667278290e-03,7.908983230590820312e-01
5.043747369199991226e-03,5.328163970261812210e-03
2.255560830235481262e-02,3.861951641738414764e-03
9.808291215449571609e-04,1.615253160707652569e-03
6.997778745354565899e-11,7.212336977646671698e-11
1.425113156437873840e-02,1.426914241164922714e-02
2.881170657929033041e-04,4.319649189710617065e-03
2.421248609607573599e-06,1.459710620110854506e-04
3.666742146015167236e-02,2.155783586204051971e-02
8.633270626887679100e-04,5.862508551217615604e-04
3.155431194112878757e-10,5.085647181157781915e-11
7.142439244489651173e-06,5.672589850291842595e-06
1.361797656863927841e-02,1.360961515456438065e-02
1.188531750813126564e-03,1.932883606059476733e-05
1.242378074675798416e-02,3.758888691663742065e-03
1.249740598723292351e-03,1.497893244959414005e-03
1.136460650741355494e-05,2.840514071067445911e-06
2.533966959872291369e-13,2.572304869108421599e-11
2.930236980319023132e-02,1.743540912866592407e-02
5.033642519265413284e-03,2.668514382094144821e-03
7.408975157886743546e-03,1.088097468018531799e-01
5.207588401390239596e-06,1.759369770297780633e-04
2.048270544037222862e-03,4.764559678733348846e-03
1.253698300570249557e-02,1.427543233148753643e-03
3.240194055251777172e-04,6.764895515516400337e-04
1.365094073116779327e-02,3.419340774416923523e-02
2.761511425956810102e-15,9.874714648584002395e-19
3.560054814442992210e-03,2.961204154416918755e-03
1.744711585342884064e-02,9.159832261502742767e-03
2.783272787928581238e-02,7.474684389308094978e-04
8.419814151450211170e-11,6.498475091376576529e-09
1.750473305583000183e-02,1.682011038064956665e-01
2.502188086509704590e-02,1.094946786761283875e-01
7.812531097243602222e-16,1.574393539387491399e-19
2.890898659409944609e-20,1.485890020216040769e-21
1.746123586534784316e-15,2.623491854124694947e-15
1.879540458321571350e-02,5.429474636912345886e-02
1.466898899525403976e-02,6.957817822694778442e-03
1.029129698872566223e-02,6.043201312422752380e-02
3.044615368708036840e-05,3.818328332272358239e-05
2.548552816733717918e-03,2.207281766459345818e-03
1.206230881507508457e-04,1.405415096087381244e-04
3.446403890848159790e-02,1.000674292445182800e-01
1.746509969234466553e-02,6.721663475036621094e-02
1.819151511881500483e-04,5.487063026521354914e-05
3.188282062183134258e-05,2.265005023218691349e-04
2.887062914669513702e-02,2.324882447719573975e-01
1.955877989530563354e-03,9.918578871292993426e-05
9.952631779015064240e-03,3.679646877571940422e-03
6.140550132840871811e-03,4.363699350506067276e-03
7.115536718629300594e-04,2.142960729543119669e-04
4.007282515799265310e-13,5.703710226156013044e-15
2.072098106145858765e-02,8.129033260047435760e-03
1.930680094963665994e-11,1.682991190854465913e-09
6.601665631933428813e-07,1.437009359506191686e-05
1.748237547837070555e-14,1.286739132179236375e-16
3.100644610822200775e-02,8.217971189878880978e-04
4.706623440142720938e-04,2.780803333735093474e-05
2.781932987272739410e-02,1.244736164808273315e-01
5.694054532796144485e-03,3.349410602822899818e-03
2.387300133705139160e-02,1.067336276173591614e-02
2.457858063280582428e-04,1.668535514909308404e-05
1.001260141464399567e-08,1.789846516711633001e-14
2.460082061588764191e-02,2.060351427644491196e-03
1.184692233202611078e-09,8.126802182595316282e-13
1.084607447257579516e-12,8.429936978505969680e-13
4.652602955679263630e-12,5.093818162410501671e-13
3.080336190760135651e-02,2.100889682769775391e-01
7.330945295258572969e-10,2.220157738208605736e-11
3.820455778992537521e-13,6.523015634585238587e-12
1.693904749117791653e-03,8.011094760149717331e-04
2.420905728634907864e-23,3.714700059426624520e-22
4.043075721710920334e-03,8.828401769278571010e-05
1.257380703464150429e-03,1.073266263119876385e-03
5.877513810992240906e-02,3.993492722511291504e-01
3.888667793944478035e-03,4.012593533843755722e-03
2.551754587329924107e-04,1.896159141324460506e-03
1.305663841776549816e-03,1.103421789593994617e-03
2.381196059286594391e-02,8.242718875408172607e-03
3.491935878992080688e-02,1.654453277587890625e-01
7.618501316756010056e-03,1.695608161389827728e-02
3.449672833085060120e-02,2.504131495952606201e-01
8.829763828543946147e-06,1.168680100818164647e-04
1.121837273240089417e-02,5.103372968733310699e-03
6.810425111325457692e-05,2.992694305703480495e-07
1.411057473887922242e-05,2.684572791622485965e-06
1.745432615280151367e-02,1.128798164427280426e-02
1.236308451446621604e-11,5.801750139339256762e-14
2.619964303448796272e-03,5.439557935460470617e-05
1.457160338759422302e-02,4.462974518537521362e-02
1.089146942831575871e-03,6.467241793870925903e-03
1.586886239238083363e-03,1.928830752149224281e-04
2.059115241325164963e-14,3.887997860363608533e-18
3.030062071047723293e-04,6.329099182039499283e-03
9.020661054348272250e-22,1.244589964865671958e-21
9.934890083968639374e-03,2.031641267240047455e-02
1.588226584168792250e-19,1.002995024473689395e-20
2.173607423901557922e-02,7.190518546849489212e-03
1.597519405186176300e-02,1.066261157393455505e-01
1.992106746229183045e-08,1.218920242518350960e-10
8.558752946555614471e-03,1.828389475122094154e-03
4.977709977538324893e-05,5.150558426976203918e-04
2.176585420966148376e-02,4.381715878844261169e-02
1.631994172930717468e-02,2.711174637079238892e-02
9.148833341896533966e-03,1.880750246345996857e-02
3.111857548356056213e-02,1.206722185015678406e-01
6.431414186954498291e-02,4.705791473388671875e+00
2.548766872215716588e-16,2.671587231902741374e-15
1.548027939861640334e-04,1.945983269251883030e-03
3.472913801670074463e-02,3.296383097767829895e-02
3.495275042951107025e-03,3.618687391281127930e-02
1.536848139949142933e-04,1.844934304244816303e-04
3.793064504861831665e-02,4.945698976516723633e-01
3.503587469458580017e-02,3.653006395325064659e-03
5.089147436798668878e-10,2.943842947189523329e-09
4.176013244538290753e-20,6.330632947718530194e-19
8.927376940846443176e-03,5.223814863711595535e-03
5.756942846346646547e-05,1.828400767408311367e-03
5.380357379181077704e-06,4.478956107050180435e-04
2.033707810445914421e-14,9.309814204272459648e-12
1.549638374434905708e-13,3.075063964789038866e-15
1.025108527392148972e-02,5.208681337535381317e-03
2.616810707463686649e-21,4.333699900438592673e-22
1.973250415176153183e-03,1.416827552020549774e-02
2.393772825598716736e-02,2.631395310163497925e-02
6.390752673723909538e-07,8.694579634038746008e-08
3.304631901457355525e-09,2.461573167522601580e-09
2.660708734765648842e-03,1.967781427083536983e-04
4.525974873104132712e-06,7.578623626613989472e-05
2.078078687191009521e-02,1.599101698957383633e-03
4.030235868413001299e-05,9.631442480895202607e-06
1.389344248536872328e-07,1.185333189823722932e-06
2.445778436958789825e-02,2.252853661775588989e-02
1.325303748174336618e-16,1.087765252974076601e-18
8.885870012888263947e-13,5.900892974123120305e-14
1.547526680004544558e-16,1.170902995299150657e-20
2.399049513041973114e-02,8.705651387572288513e-03
1.166318777667818551e-11,3.610976517798292207e-10
3.205794428140507080e-06,1.354120627183874603e-06
2.595327794551849365e-03,4.545172676444053650e-03
3.459678941536097996e-17,2.805190146369806579e-20
3.743957359966728097e-16,1.620469153867920147e-18
3.351213783025741577e-02,9.645760804414749146e-02
6.330921896733343601e-04,8.675768040120601654e-04
4.631441490582790621e-17,5.307096789483080335e-15
2.710303757339715958e-03,2.902821404859423637e-03
1.188854128122329712e-02,9.254564065486192703e-04
4.332682692620437592e-06,2.269523458053868126e-09
2.699812057471717708e-06,2.588001848380372394e-07
9.068202227354049683e-03,7.468894589692354202e-03
4.683796578319743276e-05,1.573851332068443298e-04
4.781592637300491333e-03,1.792891562217846513e-04
5.002216435968875885e-03,4.267797805368900299e-03
2.309062880137546792e-12,2.040468061181854864e-08
9.852446615695953369e-03,1.342041883617639542e-03
1.806260459125041962e-02,9.336559101939201355e-03
2.611127914860844612e-03,7.758500869385898113e-04
8.895821869373321533e-03,7.484618690796196461e-04
3.077900254612919891e-15,2.040666694327376851e-14
2.335992828011512756e-02,9.253311157226562500e-02
6.935332901775836945e-03,4.961650702171027660e-04
2.925835724454373121e-05,6.187202643559430726e-07
7.985362753970548511e-05,4.922479092783760279e-06
4.047739319503307343e-03,7.409320096485316753e-04
2.137924730777740479e-02,6.114693358540534973e-02
3.568662665237192532e-20,5.807291283792714953e-20
2.966173775362889375e-19,1.485799951233326254e-22
4.119141067349119112e-06,1.016290298139210790e-06
3.266634666942991316e-05,9.915184818964917213e-06
7.452337304130196571e-04,4.840181209146976471e-03
2.934079989790916443e-02,3.213888779282569885e-02
9.711740422062575817e-04,9.006091859191656113e-04
1.172945284973745447e-15,8.808491452514874420e-14
3.692251365761123338e-11,6.370517308118550659e-11
3.003027522936463356e-03,1.035821624100208282e-02
1.805373176466673613e-05,2.852382863238744903e-07
6.670196524192443122e-17,1.100096004586902532e-15
1.495681982487440109e-02,3.969258628785610199e-03
4.623855464160442352e-03,3.968224627897143364e-04
3.106650564545980573e-16,2.408432637271441248e-17
2.014196968935788590e-12,2.147376165773096091e-10
6.848404655868112201e-12,1.009394928752627152e-10
1.007287763059139252e-02,2.245706971734762192e-03
4.644309399282064987e-07,3.863285746774636209e-05
1.785521768033504486e-02,4.171343147754669189e-02
1.763873174786567688e-02,3.132681921124458313e-02
3.870602464303374290e-03,1.106743700802326202e-02
4.724138489109463990e-05,1.015305406326660886e-05
1.253161967275518660e-21,3.250300042660166742e-22
8.829734816485863618e-17,8.762875958242795029e-18
3.613833570852875710e-03,1.787055097520351410e-02
5.618192255496978760e-03,2.784341108053922653e-03
2.755617511951413690e-09,6.686740050554362824e-09
2.175560366595163941e-04,1.823285674618091434e-05
2.729490865021944046e-03,9.500829037278890610e-04
7.037181393165781174e-10,3.936431482998159481e-07
1.042449300488701240e-18,2.040203014564396283e-20
5.957485991530120373e-04,1.830185829021502286e-05
9.553313429933041334e-05,1.933903170936446259e-08
7.043261080980300903e-03,3.277629846706986427e-03
2.877006679773330688e-02,1.145218964666128159e-03
3.338181726722023231e-16,2.402700151549356883e-19
2.131932800328133204e-14,7.386376232876301628e-12
6.544981570599794907e-14,2.875294632310901148e-16
3.319250792264938354e-02,1.098355427384376526e-01
4.800024271389702335e-07,1.108240849134745076e-05
4.378237947821617126e-02,5.221661925315856934e-01
6.754343863576650620e-03,1.742251403629779816e-02
3.583019599318504333e-02,4.183712881058454514e-03
5.068898826721124351e-05,1.080000947695225477e-05
1.514860335737466812e-02,6.436443421989679337e-03
1.227996591478586197e-02,3.880054922774434090e-03
2.458982355892658234e-02,9.735184162855148315e-02
4.354219126980751753e-04,2.259329427033662796e-03
1.681342720985412598e-02,3.853419423103332520e-02
1.121664189811295994e-16,4.207370874766656887e-14
2.483986571988339165e-09,5.152681059605868086e-10
1.032861648127436638e-03,1.216784494317835197e-05
4.491150320973247290e-06,1.182117848657071590e-04
3.772010677494108677e-05,4.121996244066394866e-05
7.470946758985519409e-03,3.044655313715338707e-03
5.526700988411903381e-04,7.858296157792210579e-04
3.738461276658888721e-11,1.441110685646007639e-12
7.104225417848848007e-15,1.107799663363061987e-14
1.260455511510372162e-02,3.856481052935123444e-03
6.727122701704502106e-03,2.211372368037700653e-03
1.206779573112726212e-02,2.362531609833240509e-03
4.833591170608997345e-03,2.785196341574192047e-02
1.611844307056952238e-17,6.691042137373269462e-17
3.467998176347464323e-04,2.519342524465173483e-04
1.953401975333690643e-02,1.146186664700508118e-01
3.367362369317561388e-04,2.365631189604755491e-05
2.500195710186670084e-11,1.378558589981357385e-13
1.725022331811487675e-03,4.602094180881977081e-03
5.137417676280427934e-19,4.555021741330144217e-15
4.386175862874948119e-19,3.658946068676117006e-19
3.533833893015980721e-03,2.511110622435808182e-03
5.507051246240735054e-04,2.697397721931338310e-03
2.367726899683475494e-02,1.119496226310729980e-01
7.303521502763032913e-03,9.825163288041949272e-04
1.146444101460092985e-18,4.144258879421631068e-20
4.709999077022075653e-03,3.042544005438685417e-03
8.614711463451385498e-03,6.053916178643703461e-03
1.239197661009135056e-15,8.976018306449187745e-15
2.234282158315181732e-02,1.032109186053276062e-02
5.897164344787597656e-03,4.431222914718091488e-04
9.222719818353652954e-03,1.622469127178192139e-01
1.393941510468721390e-02,1.211410481482744217e-02
2.689133631065487862e-03,3.273594891652464867e-03
2.033236796705750749e-07,2.410740762570640072e-07
1.720279082655906677e-02,1.159776281565427780e-02
9.322635014541447163e-04,1.810405286960303783e-03
2.886369588096251125e-16,9.115091944609711872e-19
1.804431900382041931e-02,5.672454833984375000e-03
3.105617128312587738e-02,9.069115668535232544e-02
3.257698111269746732e-09,1.138059815275482833e-06
2.370944130234420300e-04,3.394270379430963658e-06
6.218995433300733566e-03,4.735363181680440903e-03
2.196050677922446980e-22,7.576874632324344293e-19
1.070854999125003815e-02,3.506704233586788177e-04
1.387023739516735077e-02,3.631792590022087097e-02
7.089583668857812881e-03,1.188918249681591988e-03
1.639535184949636459e-05,1.017736620269715786e-03
3.709306940436363220e-03,3.206618130207061768e-03
1.421416742135404588e-17,2.424900128226631609e-19
1.155985864897957072e-05,2.481618503225035965e-05
1.348881778540089726e-04,1.792154653230682015e-04
4.906373529678376144e-09,9.829408120776150781e-11
1.234900904819369316e-03,1.924564421642571688e-04
6.384254898875951767e-03,2.072123112156987190e-03
8.119471885947859846e-07,4.865642695222049952e-04
5.134823431084308501e-19,1.490493540434426924e-18
8.441368117928504944e-03,3.607500344514846802e-03
2.183538766464820924e-11,5.926352724533456851e-12
7.355261573138704989e-07,1.289239115465079522e-08
2.470210939645767212e-02,1.542909536510705948e-02
2.003826946020126343e-02,1.916862092912197113e-02
1.995791244553402066e-04,1.937123888637870550e-04
1.921134069561958313e-02,7.753888145089149475e-03
2.100671408697962761e-04,2.812168895616196096e-05
2.450440637767314911e-02,5.729139223694801331e-02
4.808659070931753376e-08,4.215832518639217597e-07
6.939587183296680450e-04,3.575797018129378557e-04
8.536992936569731683e-06,1.780183447408489883e-05
8.033650901008909445e-17,5.501297012681919036e-18
5.657710513768592162e-16,2.066521336103465002e-18
4.917235063572888976e-09,7.489590059250872400e-10
1.017789598862423517e-18,6.984249095772911723e-20
1.481083966791629791e-02,8.911807090044021606e-03
8.095713332295417786e-03,2.263280097395181656e-03
4.480858333408832550e-03,2.710173372179269791e-03
9.564606443746015429e-05,4.656881210394203663e-04
3.176559112034738064e-04,1.154480036348104477e-03
9.935604654244949591e-18,1.287912045336515129e-18
5.180921025527140955e-09,2.593091963376537024e-08
