predictions,targets
1.475980937500000000e+05,1.256828671875000000e+05
1.321976318359375000e+03,4.005129394531250000e+03
1.000000000000000000e+00,4.989809676558820684e-10
3.193176171875000000e+04,2.231818359375000000e+04
1.056196191406250000e+04,2.678238085937500000e+04
6.651978906250000000e+04,6.084138671875000000e+04
1.433201406250000000e+05,1.339460625000000000e+06
1.000000000000000000e+00,1.485155517002567649e-04
4.392841308593750000e+03,4.124033508300781250e+02
1.191662500000000000e+04,3.233536328125000000e+04
2.623448730468750000e+03,2.285382324218750000e+03
1.000000000000000000e+00,1.244410564177345080e-11
1.000000000000000000e+00,7.043789995719862418e-10
1.211914539337158203e+00,1.440797805786132812e+00
2.487396728515625000e+03,7.908983125000000000e+05
2.266018554687500000e+03,5.328164062500000000e+03
1.162297070312500000e+04,3.861951660156250000e+03
6.500910644531250000e+02,1.615253173828125000e+03
1.000000000000000000e+00,7.212336640805006027e-05
6.647302246093750000e+03,1.426914257812500000e+04
2.012710266113281250e+02,4.319648925781250000e+03
1.000000000000000000e+00,1.459710693359375000e+02
1.457027968750000000e+05,2.155783593750000000e+04
6.304261474609375000e+02,5.862508544921875000e+02
1.000000000000000000e+00,5.085647353553213179e-05
2.299480438232421875e+01,5.672589778900146484e+00
8.149046875000000000e+03,1.360961523437500000e+04
7.276179809570312500e+02,1.932883644104003906e+01
3.807651855468750000e+03,3.758888671875000000e+03
5.779822387695312500e+02,1.497893188476562500e+03
4.621162891387939453e+00,2.840514183044433594e+00
1.000000000000000000e+00,2.572304765635635704e-05
1.893754687500000000e+04,1.743540820312500000e+04
5.167734863281250000e+03,2.668514404296875000e+03
8.224814453125000000e+03,1.088097421875000000e+05
2.219673728942871094e+01,1.759369812011718750e+02
4.739800109863281250e+02,4.764559570312500000e+03
1.986625366210937500e+03,1.427543212890625000e+03
2.448572235107421875e+02,6.764895629882812500e+02
8.415964843750000000e+03,3.419340625000000000e+04
1.000000000000000000e+00,9.874714978000409538e-13
1.803331665039062500e+03,2.961204101562500000e+03
2.275089257812500000e+04,9.159833007812500000e+03
1.210591308593750000e+03,7.474684448242187500e+02
1.000000000000000000e+00,6.498475093394517899e-03
2.004989531250000000e+05,1.682010937500000000e+05
6.361545703125000000e+04,1.094946796875000000e+05
1.000000000000000000e+00,1.574393556063452548e-13
1.000000000000000000e+00,1.485889971787200843e-15
1.000000000000000000e+00,2.623491868192218135e-09
3.238255664062500000e+04,5.429474609375000000e+04
7.768355957031250000e+03,6.957817871093750000e+03
7.751082031250000000e+03,6.043201562500000000e+04
7.719013214111328125e+01,3.818328094482421875e+01
5.928361206054687500e+02,2.207281738281250000e+03
1.689687194824218750e+02,1.405415039062500000e+02
1.104817656250000000e+05,1.000674296875000000e+05
3.531078515625000000e+04,6.721663281250000000e+04
6.124225997924804688e+01,5.487063217163085938e+01
2.670404815673828125e+01,2.265005035400390625e+02
6.354816015625000000e+04,2.324882500000000000e+05
1.379165039062500000e+02,9.918579101562500000e+01
4.267035156250000000e+03,3.679646972656250000e+03
3.336490722656250000e+03,4.363699218750000000e+03
3.906401367187500000e+02,2.142960662841796875e+02
1.000000000000000000e+00,5.703709948789992268e-09
1.068438378906250000e+04,8.129033691406250000e+03
1.000000000000000000e+00,1.682991161942481995e-03
1.000000000000000000e+00,1.437009334564208984e+01
1.000000000000000000e+00,1.286739048644847117e-10
4.359469238281250000e+03,8.217971191406250000e+02
4.515744628906250000e+02,2.780803298950195312e+01
2.378589000000000000e+06,1.244736171875000000e+05
2.621237548828125000e+03,3.349410400390625000e+03
3.141813867187500000e+04,1.067336328125000000e+04
7.837119293212890625e+01,1.668535614013671875e+01
1.000000000000000000e+00,1.789846493238655967e-08
2.180048583984375000e+03,2.060351562500000000e+03
1.000000000000000000e+00,8.126801844809961040e-07
1.000000000000000000e+00,8.429936997345066629e-07
1.000000000000000000e+00,5.093817776469222736e-07
6.391854296875000000e+04,2.100889687500000000e+05
1.000000000000000000e+00,2.220157693955115974e-05
1.000000000000000000e+00,6.523015599668724462e-06
9.632127075195312500e+02,8.011094970703125000e+02
1.000000000000000000e+00,3.714700047875176513e-16
2.653571289062500000e+03,8.828401947021484375e+01
7.491523437500000000e+02,1.073266235351562500e+03
5.966585000000000000e+06,3.993492812500000000e+05
2.958967041015625000e+03,4.012593505859375000e+03
2.137455902099609375e+02,1.896159179687500000e+03
1.006379089355468750e+03,1.103421875000000000e+03
4.611494921875000000e+04,8.242718750000000000e+03
9.976082031250000000e+04,1.654453281250000000e+05
9.398601562500000000e+03,1.695608203125000000e+04
1.001343671875000000e+05,2.504131562500000000e+05
9.197951316833496094e+00,1.168680114746093750e+02
9.772715820312500000e+03,5.103373046875000000e+03
3.322293472290039062e+01,2.992694377899169922e-01
3.792339801788330078e+00,2.684572696685791016e+00
4.247443359375000000e+04,1.128798144531250000e+04
1.000000000000000000e+00,5.801750191380961041e-08
9.468619384765625000e+02,5.439558029174804688e+01
1.488928906250000000e+04,4.462974609375000000e+04
1.071439819335937500e+03,6.467241699218750000e+03
1.946705322265625000e+02,1.928830718994140625e+02
1.000000000000000000e+00,3.887997996471215245e-12
1.440368041992187500e+02,6.329099121093750000e+03
1.000000000000000000e+00,1.244589978630474339e-15
1.531823730468750000e+04,2.031641210937500000e+04
1.000000000000000000e+00,1.002995006249866525e-14
1.240715722656250000e+04,7.190518554687500000e+03
5.230337500000000000e+04,1.066261171875000000e+05
1.000000000000000000e+00,1.218920297105796635e-04
2.476142883300781250e+02,1.828389404296875000e+03
9.945645904541015625e+01,5.150558471679687500e+02
4.277657812500000000e+04,4.381716015625000000e+04
3.745050781250000000e+04,2.711174609375000000e+04
9.760678710937500000e+03,1.880750390625000000e+04
9.214814843750000000e+04,1.206722187500000000e+05
6.206015000000000000e+06,4.705791500000000000e+06
1.000000000000000000e+00,2.671587173708189766e-09
5.338809204101562500e+01,1.945983276367187500e+03
1.243056875000000000e+05,3.296383203125000000e+04
3.848511718750000000e+03,3.618687109375000000e+04
9.340093231201171875e+01,1.844934387207031250e+02
1.970143906250000000e+05,4.945698750000000000e+05
8.683369140625000000e+03,3.653006591796875000e+03
1.000000000000000000e+00,2.943842904642224312e-03
1.000000000000000000e+00,6.330632632695065709e-13
9.305311523437500000e+03,5.223814941406250000e+03
9.695220947265625000e+01,1.828400756835937500e+03
6.332096576690673828e+00,4.478955993652343750e+02
1.000000000000000000e+00,9.309814231528434902e-06
1.000000000000000000e+00,3.075063981228254306e-09
5.543468261718750000e+03,5.208681152343750000e+03
1.000000000000000000e+00,4.333700079025594454e-16
1.393326049804687500e+03,1.416827539062500000e+04
1.650251953125000000e+04,2.631395312500000000e+04
4.442387104034423828e+00,8.694579452276229858e-02
1.000000000000000000e+00,2.461573109030723572e-03
2.322241699218750000e+03,1.967781372070312500e+02
6.266289234161376953e+00,7.578623962402343750e+01
1.458372363281250000e+04,1.599101806640625000e+03
5.382274627685546875e+01,9.631442070007324219e+00
1.237505555152893066e+00,1.185333251953125000e+00
2.128798437500000000e+04,2.252853710937500000e+04
1.000000000000000000e+00,1.087765186084943547e-12
1.000000000000000000e+00,5.900893285115671461e-08
1.000000000000000000e+00,1.170903025010444284e-14
1.280827148437500000e+04,8.705651367187500000e+03
1.000000000000000000e+00,3.610976564232259989e-04
4.254773616790771484e+00,1.354120612144470215e+00
1.582609375000000000e+03,4.545172363281250000e+03
1.000000000000000000e+00,2.805189992783046343e-14
1.000000000000000000e+00,1.620469166838112152e-12
1.671435781250000000e+05,9.645760937500000000e+04
6.151009521484375000e+02,8.675768432617187500e+02
1.000000000000000000e+00,5.307096540008160446e-09
8.415590209960937500e+02,2.902821289062500000e+03
3.573583496093750000e+03,9.254564208984375000e+02
3.271248340606689453e+00,2.269523451104760170e-03
1.886236953735351562e+01,2.588001787662506104e-01
8.630417968750000000e+03,7.468894531250000000e+03
3.130818748474121094e+01,1.573851318359375000e+02
1.432775726318359375e+02,1.792891540527343750e+02
4.636231445312500000e+03,4.267797851562500000e+03
1.000000000000000000e+00,2.040468156337738037e-02
2.103647705078125000e+03,1.342041870117187500e+03
1.261274414062500000e+04,9.336559570312500000e+03
2.685817138671875000e+03,7.758500976562500000e+02
1.229870727539062500e+03,7.484619140625000000e+02
1.000000000000000000e+00,2.040666657876499812e-08
2.631565429687500000e+04,9.253310937500000000e+04
1.331905273437500000e+03,4.961650695800781250e+02
1.636133766174316406e+01,6.187202930450439453e-01
5.241936111450195312e+01,4.922479152679443359e+00
1.051094970703125000e+03,7.409320068359375000e+02
5.146913671875000000e+04,6.114693359375000000e+04
1.000000000000000000e+00,5.807291090067015493e-14
1.000000000000000000e+00,1.485799948066775472e-16
1.579060745239257812e+01,1.016290307044982910e+00
2.720552444458007812e+01,9.915184974670410156e+00
3.171237792968750000e+02,4.840181152343750000e+03
3.776871484375000000e+04,3.213888867187500000e+04
8.373630371093750000e+02,9.006091918945312500e+02
1.000000000000000000e+00,8.808491003264862229e-08
1.000000000000000000e+00,6.370517075993120670e-05
2.177228271484375000e+03,1.035821582031250000e+04
4.840729141235351562e+01,2.852382659912109375e-01
1.000000000000000000e+00,1.100096014283735713e-09
8.151861328125000000e+03,3.969258789062500000e+03
2.450277343750000000e+03,3.968224487304687500e+02
1.000000000000000000e+00,2.408432654699144138e-11
1.000000000000000000e+00,2.147376217180863023e-04
1.000000000000000000e+00,1.009394909488037229e-04
2.621459228515625000e+03,2.245707031250000000e+03
2.111988544464111328e+00,3.863285827636718750e+01
3.998273046875000000e+04,4.171342968750000000e+04
8.639723632812500000e+03,3.132681835937500000e+04
3.071234863281250000e+03,1.106743750000000000e+04
2.920034980773925781e+01,1.015305328369140625e+01
1.000000000000000000e+00,3.250299940862021435e-16
1.000000000000000000e+00,8.762875841616946104e-12
3.597844970703125000e+03,1.787055078125000000e+04
5.369401367187500000e+03,2.784341064453125000e+03
1.000000000000000000e+00,6.686739623546600342e-03
2.330294952392578125e+02,1.823285675048828125e+01
1.796635986328125000e+03,9.500829467773437500e+02
1.000000000000000000e+00,3.936431407928466797e-01
1.000000000000000000e+00,2.040203028492049847e-14
3.124102172851562500e+02,1.830185699462890625e+01
3.892617034912109375e+01,1.933903060853481293e-02
3.567730224609375000e+03,3.277629882812500000e+03
2.758428222656250000e+03,1.145218994140625000e+03
1.000000000000000000e+00,2.402700163394583255e-13
1.000000000000000000e+00,7.386376637441571802e-06
1.000000000000000000e+00,2.875294724535848445e-10
