,0,1
0,0.0,11.941086
1,0.0028784978,11.941086
2,0.0057569956,11.941086
3,0.008635494,11.941086
4,0.011513991,11.941086
5,0.01439249,11.941086
6,0.017270988,11.941086
7,0.020149484,11.941086
8,0.023027983,11.941086
9,0.02590648,11.941086
10,0.02878498,11.941086
11,0.031663477,11.941086
12,0.034541976,11.941086
13,0.03742047,11.941086
14,0.04029897,11.941086
15,0.043177467,11.941086
16,0.046055965,11.941086
17,0.048934463,11.941086
18,0.05181296,11.941086
19,0.05469146,11.941086
20,0.05756996,11.941086
21,0.060448457,11.941086
22,0.063326955,11.941086
23,0.06620545,11.941086
24,0.06908395,11.941086
25,0.071962446,11.941086
26,0.07484094,11.941086
27,0.07771944,11.941086
28,0.08059794,11.941086
29,0.08347644,11.941086
30,0.08635493,11.941086
31,0.089233436,11.941086
32,0.09211193,11.941086
33,0.09499043,11.941086
34,0.09786893,11.941086
35,0.10074742,11.941086
36,0.10362592,11.941086
37,0.10650442,11.941086
38,0.10938292,11.941086
39,0.112261415,11.941086
40,0.11513992,11.941086
41,0.11801841,11.941086
42,0.12089691,11.941086
43,0.12377541,11.941086
44,0.12665391,11.941086
45,0.1295324,11.941086
46,0.1324109,11.941086
47,0.1352894,11.941086
48,0.1381679,11.941086
49,0.14104639,11.941086
50,0.14392489,11.941086
51,0.1468034,11.941086
52,0.14968188,11.941086
53,0.15256038,11.941086
54,0.15543889,11.941086
55,0.15831739,11.941086
56,0.16119587,11.941086
57,0.16407438,11.941086
58,0.16695288,11.941086
59,0.16983138,11.941086
60,0.17270987,11.941086
61,0.17558837,11.941086
62,0.17846687,11.941086
63,0.18134536,11.941086
64,0.18422386,11.941086
65,0.18710236,11.941086
66,0.18998086,11.941086
67,0.19285935,11.941086
68,0.19573785,11.941086
69,0.19861636,11.941086
70,0.20149484,11.941086
71,0.20437334,11.941086
72,0.20725185,11.941086
73,0.21013035,11.941086
74,0.21300884,11.941086
75,0.21588734,11.941086
76,0.21876584,11.941086
77,0.22164433,11.941086
78,0.22452283,11.941086
79,0.22740133,11.941086
80,0.23027983,11.941086
81,0.23315832,11.941086
82,0.23603682,11.941086
83,0.23891532,11.941086
84,0.24179383,11.941086
85,0.24467231,11.941086
86,0.24755082,11.941086
87,0.2504293,11.941086
88,0.25330782,11.941086
89,0.2561863,11.941086
90,0.2590648,11.941086
91,0.2619433,11.941086
